name	charge	inchikey
Nicotinamide adenine dinucleotide - reduced	-2	BOPGDPNILDQYTO-NNYOXOHSSA-N
2-Phosphoglycerate 	-3	GXIURPTVHJPJLF-UWTATZPHSA-N
Phosphoenolpyruvate	-3	DTBNBXWJWCWCIK-UHFFFAOYSA-M
Pyruvate	-1	LCTONWCANYUPML-UHFFFAOYSA-M
Pyruvate	-1	LCTONWCANYUPML-UHFFFAOYSA-M
Pyruvate	-1	LCTONWCANYUPML-UHFFFAOYSA-M
Thiamine pyrophosphate	-3	AYEKOFBPNLCAJY-UHFFFAOYSA-L
H+	0	GPRLSGONYQIRFK-UHFFFAOYSA-N
2-(alpha-Hydroxyethyl)thiamine diphosphate	-3	RRUVJGASJONMDY-UHFFFAOYSA-O
CO2	0	CURLTUGMZLYLDI-UHFFFAOYSA-N
Lipoamide	0	FCCDDURTIIUXBY-UHFFFAOYSA-N
Acetyldihydrolipoamide	0	ARGXEXVCHMNAQU-UHFFFAOYSA-N
Coenzyme A	-4	RGJOEKWQDUBAIZ-IBOSZNHHSA-N
Acetyl-Coenzyme A	-4	ZSLZBFCDCINBPY-KMYLAXNMSA-N
Dihydrolipoamide	0	VLYUGYAKYZETRF-UHFFFAOYSA-N
Nicotinamide adenine dinucleotide	-2	BAWFJGJZGIEFAR-NNYOXOHSSA-N
Nicotinamide adenine dinucleotide - reduced	-2	BOPGDPNILDQYTO-NNYOXOHSSA-N
Oxaloacetate	-2	KHPXUQMNIQBQEV-UHFFFAOYSA-N
H2O	0	XLYOFNOQVPJJNP-UHFFFAOYSA-N
Citrate	-3	KRKNYBCHXYNGOX-UHFFFAOYSA-N
cis-Aconitate	-3	GTZCVFVGUGFEME-IWQZZHSRSA-N
Isocitrate	-3	ODBLHEXUDAPZAU-UHFFFAOYSA-N
2-Oxoglutarate	-2	KPGXRSRHYNQIFN-UHFFFAOYSA-N
Succinyldihydrolipoamide	-1	RJCJWONCSKSHES-SECBINFHSA-N
Succinyl-CoA	-5	VNOYUJKHFWYWIR-ITIYDSSPSA-N|VNOYUJKHFWYWIR-ITIYDSSPSA-I|VNOYUJKHFWYWIR-ITIYDSSPSA-J
Adenosine diphosphate	-3	XTWYTFMLZFPYCI-KQYNXXCUSA-N
Orthophosphate	-2	NBIIXXVUZAFLBC-UHFFFAOYSA-K
Succinate	-2	KDYFGRWQOYBRFD-UHFFFAOYSA-L|KDYFGRWQOYBRFD-UHFFFAOYSA-N
Adenosine triphosphate	-4	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
Ubiquinone	0	ACTIUHUUMQJHFO-UPTCCGCDSA-N
Fumarate	-2	VZCYOOQTPOCHFL-OWOJBTEDSA-L|VZCYOOQTPOCHFL-OWOJBTEDSA-N
Ubiquinol	0	NaN
Malate	-2	BJEPYKJPYRNKOW-UHFFFAOYSA-N|BJEPYKJPYRNKOW-UHFFFAOYSA-L
H+	0	GPRLSGONYQIRFK-UHFFFAOYSA-N
Oxidized cytochrome c	-2	NaN
Reduced cytochrome c	-2	NaN
O2	0	MYMOFIZGZYHOMD-UHFFFAOYSA-N
2-Phosphoglycolate	-3	ASCFNMCAHFUBCO-UHFFFAOYSA-N|ASCFNMCAHFUBCO-UHFFFAOYSA-K
Glycolate	-1	AEMRFAOFKBGASW-UHFFFAOYSA-M|AEMRFAOFKBGASW-UHFFFAOYSA-N
Glycolate	-1	AEMRFAOFKBGASW-UHFFFAOYSA-M|AEMRFAOFKBGASW-UHFFFAOYSA-N
O2	0	MYMOFIZGZYHOMD-UHFFFAOYSA-N
Glyoxylate	-1	HHLFWLYXYJOTON-UHFFFAOYSA-N
Hydrogen peroxide	0	MHAJPDPJQMAIIY-UHFFFAOYSA-N
H2O	0	XLYOFNOQVPJJNP-UHFFFAOYSA-N
Glutamate	-1	WHUUTDBJXJRKMK-VKHMYHEASA-M
Glycine	0	DHMQDGOQFOQNFH-UHFFFAOYSA-N
2-Oxoglutarate	-2	KPGXRSRHYNQIFN-UHFFFAOYSA-N
Glycine	0	DHMQDGOQFOQNFH-UHFFFAOYSA-N
Lipoylprotein	0	NaN
Aminomethyldihydrolipoylprotein	1	NaN
5,6,7,8-Tetrahydrofolate	-2	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
Dihydrolipolprotein	0	NaN
5,10-Methylenetetrahydrofolate	-2	QYNUQALWYRSVHF-ABLWVSNPSA-N
Ammonia	1	QGZKDVFQNNGYKY-UHFFFAOYSA-N
Serine	0	MTCFGRXMJLQNBG-REOHCLBHSA-N
Serine	0	MTCFGRXMJLQNBG-REOHCLBHSA-N
Hydroxypyruvate	-1	HHDDCCUIIUWNGJ-UHFFFAOYSA-N
Nicotinamide adenine dinucleotide - reduced	-2	BOPGDPNILDQYTO-NNYOXOHSSA-N
H+	0	GPRLSGONYQIRFK-UHFFFAOYSA-N
Glycerate	-1	RBNPOMFGQQGHHO-UWTATZPHSA-N|RBNPOMFGQQGHHO-UWTATZPHSA-M
Nicotinamide adenine dinucleotide	-2	BAWFJGJZGIEFAR-NNYOXOHSSA-N|BAWFJGJZGIEFAR-NNYOXOHSSA-O|BAWFJGJZGIEFAR-NNYOXOHSSA-M
Malate	-2	BJEPYKJPYRNKOW-UHFFFAOYSA-N|BJEPYKJPYRNKOW-UHFFFAOYSA-L
Oxaloacetate	-2	KHPXUQMNIQBQEV-UHFFFAOYSA-N
Glycerate	-1	RBNPOMFGQQGHHO-UWTATZPHSA-N|RBNPOMFGQQGHHO-UWTATZPHSA-M
Glucono-delta-lactone-6-phosphate	-2	IJOJIVNDFQSGAB-SQOUGZDYSA-N
6-Phospho-D-gluconate	-3	BIRSGZKFKXLSJQ-SQOUGZDYSA-N
3-Deoxy-D-arabino-heptulosonate-7-phosphate	-3	PJWIPEXIFFQAQZ-PUFIMZNGSA-N
3-Dehydroquinate	-1	WVMWZWGZRAXUBK-SYTVJDICSA-M|WVMWZWGZRAXUBK-SYTVJDICSA-N
3-Dehydroshikimate	-1	SLWWJZMPHJJOPH-PHDIDXHHSA-N|SLWWJZMPHJJOPH-PHDIDXHHSA-M
Shikimate	-1	JXOHGGNKMLTUBP-HSUXUTPPSA-N|JXOHGGNKMLTUBP-HSUXUTPPSA-M
Shikimate 3-phosphate	-3	QYOJSKGCWNAKGW-PBXRRBTRSA-N|QYOJSKGCWNAKGW-PBXRRBTRSA-K|QYOJSKGCWNAKGW-PBXRRBTRSA-M
5-Enolpyruvyl-shikimate-3-phosphate	-4	QUTYKIXIUDQOLK-PRJMDXOYSA-J
Chorismate	-2	WTFXTQVDAKGDEY-HTQZYQBOSA-N
5-Phosphoribosyl 1-pyrophosphate	-5	PQGCEDQWHSBAJP-TXICZTDVSA-N|PQGCEDQWHSBAJP-TXICZTDVSA-I
adenosine 5-monophosphate	-2	UDMBCSSLTHHNCD-KQYNXXCUSA-N
Malate	-2	BJEPYKJPYRNKOW-UHFFFAOYSA-N|BJEPYKJPYRNKOW-UHFFFAOYSA-L
Oxaloacetate	-2	KHPXUQMNIQBQEV-UHFFFAOYSA-N
Nicotinamide adenine dinucleotide phosphate - reduced	-4	ACFIXJIJDZMPPO-NCHANQSKSA-N|ACFIXJIJDZMPPO-NNYOXOHSSA-N
Nicotinamide adenine dinucleotide phosphate	-4	XJLXINKUBYWONI-NNYOXOHSSA-O
Acetyl-Coenzyme A	-3	ZSLZBFCDCINBPY-KMYLAXNMSA-N
Citrate	-3	KRKNYBCHXYNGOX-UHFFFAOYSA-N
Coenzyme A	-4	RGJOEKWQDUBAIZ-IBOSZNHHSA-N
Acetyl-Coenzyme A	-4	ZSLZBFCDCINBPY-KMYLAXNMSA-N
Citrate	-3	KRKNYBCHXYNGOX-UHFFFAOYSA-N
Coenzyme A	-4	RGJOEKWQDUBAIZ-IBOSZNHHSA-N
cis-Aconitate	-3	GTZCVFVGUGFEME-IWQZZHSRSA-N
cis-Aconitate	-3	GTZCVFVGUGFEME-IWQZZHSRSA-N
Isocitrate	-3	ODBLHEXUDAPZAU-UHFFFAOYSA-N
Isocitrate	-3	ODBLHEXUDAPZAU-UHFFFAOYSA-N
2-Oxoglutarate	-2	KPGXRSRHYNQIFN-UHFFFAOYSA-N
2-Oxoglutarate	-2	KPGXRSRHYNQIFN-UHFFFAOYSA-N
Glyoxylate	-1	HHLFWLYXYJOTON-UHFFFAOYSA-N
Succinate	-2	KDYFGRWQOYBRFD-UHFFFAOYSA-L|KDYFGRWQOYBRFD-UHFFFAOYSA-N
Acetate	-1	QTBSBXVTEAMEQO-UHFFFAOYSA-M
Bicarbonate	-1	BVKZGUZCCUSVTD-UHFFFAOYSA-M
Malonyl-Coenzyme A	-5	LTYOQGRJFJAKNA-DVVLENMVSA-N
Acyl-carrier protein	0	NaN
Malonyl-acyl-carrier-protein	-1	NaN
Formate	-1	BDAGIHXWWSANSR-UHFFFAOYSA-M
5,6,7,8-Tetrahydrofolate	-2	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
10-Formyltetrahydrofolate	-1	AUFGTPPARQZWDO-YUZLPWPTSA-N
Dihydrofolate	-1	OZRNSSUDZOLUSN-LBPRGKRZSA-N
5,6,7,8-Tetrahydrofolate	-2	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
Oxidized thioredoxin	0	NaN
Reduced thioredoxin	0	NaN
Adenosine	0	OIRDTQYFTABQOQ-KQYNXXCUSA-N
adenosine 5-monophosphate	-2	UDMBCSSLTHHNCD-KQYNXXCUSA-N
Ribose	0	HMFHBZSHGGEWLO-AIHAYLRMSA-N
Adenine	-1	GFFGJBXGBJISGV-UHFFFAOYSA-N
5-Phosphoribosyl 1-pyrophosphate	-4	PQGCEDQWHSBAJP-TXICZTDVSA-N|PQGCEDQWHSBAJP-TXICZTDVSA-I
Ribose	0	HMFHBZSHGGEWLO-AIHAYLRMSA-N
Nitrate	-1	NHNBFGGVMKEFGY-UHFFFAOYSA-N
Nitrite	-1	IOVCWXUNBOPUCH-UHFFFAOYSA-M
Nitrite	-1	IOVCWXUNBOPUCH-UHFFFAOYSA-M
Ammonia	1	QGZKDVFQNNGYKY-UHFFFAOYSA-N
Sulfate	-2	QAOWNCQODCNURD-UHFFFAOYSA-L
Adenosine 5-phosphosulfate	-2	IRLPACMLTUPBCL-KQYNXXCUSA-N
Glutathione	-1	RWSXRVCMGQZWBV-WDSKDSINSA-N
Sulfite	-1	LSNNMFCWUKXFEE-UHFFFAOYSA-L
Glutathione disulfide	-2	YPZRWBKMTBYPTK-BJDJZHNGSA-N
Hydrogen sulfide	0	RWSOTUBLDIXVET-UHFFFAOYSA-N
Glutamate	-1	WHUUTDBJXJRKMK-VKHMYHEASA-M
Alanine	0	QNAYBMKLOCPYGJ-UHFFFAOYSA-N
Glutamate	-1	WHUUTDBJXJRKMK-VKHMYHEASA-M
Alanine	0	QNAYBMKLOCPYGJ-UHFFFAOYSA-N
Pyruvate	-1	LCTONWCANYUPML-UHFFFAOYSA-M
Alanine	0	QNAYBMKLOCPYGJ-UHFFFAOYSA-N
Acetylglutamate	-3	RFMMMVDNIPUKGG-UHFFFAOYSA-N
