Reactions that produce compound from New SmartTable with CO2	Matches	EC-Number	METANETX	Spontaneous?	In-Pathway	Object ID	Data-Source	Regulated-By	Requirements
3.5.1.87-RXN	CARBON-DIOXIDE	EC-3.5.1.87	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109833</a>			3.5.1.87-RXN			
RXN-21351	CARBON-DIOXIDE	EC-3.5.1.M21 // EC-3.5.1.M20				RXN-21351			
RXN-22491	CARBON-DIOXIDE	EC-3.5.1.137				RXN-22491			
RXN0-986	CARBON-DIOXIDE	EC-1.14.11.33	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123424</a>			RXN0-986			
RXN-18737	CARBON-DIOXIDE	EC-1.14.11.33				RXN-18737			
RXN-17810	CARBON-DIOXIDE	EC-1.14.11.54	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121182</a>			RXN-17810			
RXN-21233	CARBON-DIOXIDE	EC-1.14.11.54				RXN-21233			
FORMYLTETRAHYDROFOLATE-DEHYDROGENASE-RXN	CARBON-DIOXIDE	EC-1.5.1.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR115888</a>			FORMYLTETRAHYDROFOLATE-DEHYDROGENASE-RXN			
RXN-18738	CARBON-DIOXIDE	EC-1.14.11.33				RXN-18738			
RXN-21235	CARBON-DIOXIDE	EC-1.14.11.54				RXN-21235			
RXN-17812	CARBON-DIOXIDE	EC-1.14.11.51	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114642</a>			RXN-17812			
RXN-17811	CARBON-DIOXIDE	EC-1.14.11.53	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121183</a>			RXN-17811			
RXN66-626	CARBON-DIOXIDE	EC-2.3.1.85 // EC-2.3.1.86			PWY-5994	RXN66-626			
RXN-9527	CARBON-DIOXIDE	EC-2.3.1.179 // EC-2.3.1.41	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109251</a>		PWY-8279 // PWY1A0-6120	RXN-9527			
RXN-9651	CARBON-DIOXIDE	EC-2.3.1.41	<a href='https://www.metanetx.org/equa_info/~A'>MNXR122924</a>		PWY66-430	RXN-9651			
RXN-16629	CARBON-DIOXIDE	EC-2.3.1.179 // EC-2.3.1.41	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120249</a>		PWY-7663	RXN-16629			
RXN-18677	CARBON-DIOXIDE	EC-1.14.11.58				RXN-18677			
RXN-19847	CARBON-DIOXIDE	EC-2.3.1.294				RXN-19847			
RXN-19846	CARBON-DIOXIDE	EC-2.3.1.293				RXN-19846			
RXN-16093	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119841</a>		PWY-7599	RXN-16093			
RXN-7927	CARBON-DIOXIDE	EC-4.1.1.24	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106776</a>			RXN-7927			
1.14.12.1-RXN	CARBON-DIOXIDE	EC-1.14.12.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114918</a>		PWY-6079	1.14.12.1-RXN			
RXN-15021	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119080</a>		PWY-7407 // PWY-7405	RXN-15021			
RXN-17710	CARBON-DIOXIDE	EC-2.3.1.262	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121106</a>			RXN-17710			
RXN-14426	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118679</a>		PWY-7253	RXN-14426			
RXN-13242	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117965</a>			RXN-13242			
