Reactions that produce compound from New SmartTable with CO2	Matches	EC-Number	METANETX	Spontaneous?	In-Pathway	Object ID	Data-Source	Regulated-By	Requirements
1.2.1.2-RXN	CARBON-DIOXIDE	EC-1.17.1.9	<a href='https://www.metanetx.org/equa_info/~A'>MNXR99475</a>		P164-PWY // PWY-5497	1.2.1.2-RXN			
FORMATE-DEHYDROGENASE-NADP+-RXN	CARBON-DIOXIDE	EC-1.17.1.10	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106403</a>		CODH-PWY	FORMATE-DEHYDROGENASE-NADP+-RXN			
RXN0-724	CARBON-DIOXIDE	EC-1.1.98.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123408</a>		PWY0-166	RXN0-724			
FORMATEDEHYDROG-RXN	CARBON-DIOXIDE	EC-1.17.5.3	<a href='https://www.metanetx.org/equa_info/~A'>MNXR143770</a>		PWY0-1585 // PWY0-1355 // PWY0-1356 // PWY0-1321	FORMATEDEHYDROG-RXN			
RXN-15082	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119129</a>		PWY-7419	RXN-15082			
RXN-14407	CARBON-DIOXIDE	EC-1.14.11.38	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118672</a>		PWY-7526	RXN-14407			
RXN-13093	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR113576</a>		PWY-6995	RXN-13093			
RXN-15600	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119482</a>		PWY-6659	RXN-15600			
RXN-15593	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119475</a>		PWY-7517	RXN-15593			
GALLATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.59	<a href='https://www.metanetx.org/equa_info/~A'>MNXR108044</a>		P3-PWY	GALLATE-DECARBOXYLASE-RXN			
1.14.11.1-RXN	CARBON-DIOXIDE	EC-1.14.11.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR96215</a>		PWY-3621 // PWY-6100	1.14.11.1-RXN			
RXN-17555	CARBON-DIOXIDE	EC-4.1.1.103	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114650</a>		PWY-7773 // PWY-7772	RXN-17555			
RXN-14655	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118833</a>		PWY-7298	RXN-14655			
GENTISATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.62	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107540</a>			GENTISATE-DECARBOXYLASE-RXN			
RXN-19668	CARBON-DIOXIDE	EC-2.5.1.74			PWY-7997	RXN-19668			
RXN-14929	CARBON-DIOXIDE	EC-2.5.1.116	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114027</a>		PWY-7436	RXN-14929			
RXN-115	CARBON-DIOXIDE	EC-1.14.11.13	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107885</a>		PWY-102	RXN-115			
RXN-947	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR122837</a>		PWY-102	RXN-947			
RXN-6544	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121859</a>		PWY-5036	RXN-6544			
RXN1F-162	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR143567</a>		PWY-5070	RXN1F-162			
RXN-7624	CARBON-DIOXIDE	EC-1.14.14	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121978</a>		PWY-5047	RXN-7624			
RXN-6542	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121857</a>			RXN-6542			
RXN-7589	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121963</a>		PWY-5036	RXN-7589			
RXN-7619	CARBON-DIOXIDE	EC-1.14.14	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121976</a>		PWY-5047	RXN-7619			
RXN-7680	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121999</a>			RXN-7680			
RXN1F-163	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR143568</a>		PWY-5070	RXN1F-163			
RXN-6522	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR144037</a>		PWY-5036	RXN-6522			
RXN-6546	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121861</a>			RXN-6546			
RXN1F-101	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123437</a>		PWY-5035	RXN1F-101			
RXN1F-169	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123445</a>		PWY-5035	RXN1F-169			
RXN1F-170	CARBON-DIOXIDE	EC-1.14.11.15	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107886</a>		PWY-5035	RXN1F-170			
RXN-113	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR108443</a>		PWY-102	RXN-113			
RXN1F-99	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123452</a>		PWY-5070	RXN1F-99			
RXN-6523	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR110155</a>		PWY-5070	RXN-6523			
RXN1F-164	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123443</a>		PWY-5070	RXN1F-164			
RXN-6541	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121856</a>		PWY-5070	RXN-6541			
RXN-6543	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121858</a>			RXN-6543			
RXN-6547	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121862</a>			RXN-6547			
RXN-114	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR116905</a>		PWY-102	RXN-114			
RXN-292	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121642</a>		PWY-102	RXN-292			
RXN-7591	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121965</a>		PWY-5036	RXN-7591			
RXN-7590	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121964</a>		PWY-5036	RXN-7590			
RXN-6550	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR110158</a>		PWY-102	RXN-6550			
RXN-886	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR122523</a>		PWY-102	RXN-886			
RXN-14318	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118613</a>		PWY-7232	RXN-14318			
RXN-14327	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118619</a>		PWY-7232	RXN-14327			
RXN-172	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120740</a>		PWY-102	RXN-172			
RXN-991	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123072</a>		PWY-102	RXN-991			
RXN1F-167	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109315</a>		PWY-5035	RXN1F-167			
RXN-118	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR117162</a>		PWY-102	RXN-118			
RXN1F-165	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR110156</a>		PWY-5070	RXN1F-165			
RXN-171	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR110157</a>		PWY-102	RXN-171			
RXN1F-168	CARBON-DIOXIDE	EC-1.14.11.12	<a href='https://www.metanetx.org/equa_info/~A'>MNXR108441</a>		PWY-5035	RXN1F-168			
RXN-6524	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121855</a>		PWY-5035	RXN-6524			
RXN-20772	CARBON-DIOXIDE				PWY-6409	RXN-20772			
RXN0-7316	CARBON-DIOXIDE	EC-1.14.11.64			PWY1G01-4 // PWY0-461	RXN0-7316			
RXN-22027	CARBON-DIOXIDE				PWY-8203	RXN-22027			
GLUTARYL-COA-DEHYDROGENASE-RXN	CARBON-DIOXIDE	EC-1.3.8.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR115932</a>			GLUTARYL-COA-DEHYDROGENASE-RXN			
1.4.99.5-RXN	CARBON-DIOXIDE	EC-1.4.99.5	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114981</a>			1.4.99.5-RXN			
GCVMULTI-RXN	CARBON-DIOXIDE	EC-1.4.1.27	<a href='https://www.metanetx.org/equa_info/~A'>MNXR115907</a>		PWY-8303 // PWY-2201 // PWY-181 // 1CMET2-PWY // PWY-3841	GCVMULTI-RXN			
GCVP-RXN	CARBON-DIOXIDE	EC-1.4.4.2	<a href='https://www.metanetx.org/equa_info/~A'>MNXR115908</a>		GLYCINE-SYN2-PWY // GCVMULTI-RXN // GLYCLEAV-PWY	GCVP-RXN			
5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	CARBON-DIOXIDE	EC-2.3.1.37	<a href='https://www.metanetx.org/equa_info/~A'>MNXR95695</a>		PWY-7536 // PWY-5189	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN			
RXN-16911	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120492</a>			RXN-16911			
RXN-16900	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120484</a>		PWY-7693	RXN-16900			
RXN-19285	CARBON-DIOXIDE	EC-1.14.20.14				RXN-19285			
RXN-19756	CARBON-DIOXIDE				PWY-7766 // RXN-17519	RXN-19756			
RXN-10731	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR116492</a>		PWY-6310	RXN-10731			
RXN-17206	CARBON-DIOXIDE	EC-2.3.1.295	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120746</a>			RXN-17206			
RXN-20184	CARBON-DIOXIDE	EC-1.14.11.77				RXN-20184			
RXN-13662	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR118229</a>		PWY-5140 // RXN-7852 // PWY-7105	RXN-13662			
RXN-10688	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR128038</a>			RXN-10688			
RXN-10689	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR116464</a>			RXN-10689			
RXN-7852	CARBON-DIOXIDE	EC-2.3.1.206	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113537</a>			RXN-7852			
RXN-10687	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR116462</a>			RXN-10687			
RXN-20183	CARBON-DIOXIDE	EC-1.14.11.77				RXN-20183			
RXN0-5224	CARBON-DIOXIDE	EC-4.2.1.1			PWY-5789 // PWY-7115 // PWY-241 // PWY-7117 // PWYQT-4429 // CYANCAT-PWY // PWY-6142 // PWY-5744	RXN0-5224			
RXN-21229	CARBON-DIOXIDE	EC-1.2.1.104				RXN-21229			
HYDROXYPYRUVATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.40	<a href='https://www.metanetx.org/equa_info/~A'>MNXR100700</a>			HYDROXYPYRUVATE-DECARBOXYLASE-RXN			
RXN-21515	CARBON-DIOXIDE	EC-4.1.1			PWY-8158	RXN-21515			
RXN-17185	CARBON-DIOXIDE	EC-2.3.1.111	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120725</a>			RXN-17185			
RXN-12341	CARBON-DIOXIDE	EC-4.1.1.92	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112910</a>			RXN-12341			
RXN-3945	CARBON-DIOXIDE	EC-4.1.1.7	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121688</a>		PWY-8087	RXN-3945			
RXN-7805	CARBON-DIOXIDE	EC-2.3.1.156	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114876</a>		PWY-5808	RXN-7805			
RXN-21611	CARBON-DIOXIDE	EC-2.3.1.300			PWY-8175	RXN-21611			
2.5.1.64-RXN	CARBON-DIOXIDE	EC-2.2.1.9	<a href='https://www.metanetx.org/equa_info/~A'>MNXR115179</a>		PWY-5837	2.5.1.64-RXN			
RXN-20752	CARBON-DIOXIDE	EC-4.1.1.118				RXN-20752			
RXN-22492	CARBON-DIOXIDE	EC-3.5.1.137				RXN-22492			
RXN-21352	CARBON-DIOXIDE	EC-3.5.1.M21				RXN-21352			
RXN-14401	CARBON-DIOXIDE	EC-1.14.11.37	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113668</a>		PWY-7000	RXN-14401			
4.1.1.86-RXN	CARBON-DIOXIDE	EC-4.1.1.86	<a href='https://www.metanetx.org/equa_info/~A'>MNXR111249</a>		PWY-761	4.1.1.86-RXN			
THREOSPON-RXN	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR95851</a>	T	PWY-7378 // THRDLCTCAT-PWY // RXN-16001 // RXN-14249	THREOSPON-RXN			
RXN-16001	CARBON-DIOXIDE	EC-1.1.1.381	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114166</a>			RXN-16001			
RXN-21710	CARBON-DIOXIDE	EC-3.5.3.M1			PWY-4981	RXN-21710			
RXN-14542	CARBON-DIOXIDE	EC-1.14.11.41	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112792</a>		PWY-6853 // RXN-13396	RXN-14542			
RXN-13396	CARBON-DIOXIDE	EC-1.14.20.7	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113189</a>		PWY-7126 // RXN-12535	RXN-13396			
RXN-12537	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR139751</a>		PWY-7274	RXN-12537			
ARGININE-2-MONOOXYGENASE-RXN	CARBON-DIOXIDE	EC-1.13.12.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106583</a>		ARGDEG-V-PWY	ARGININE-2-MONOOXYGENASE-RXN			
ARGDECARBOX-RXN	CARBON-DIOXIDE	EC-4.1.1.19	<a href='https://www.metanetx.org/equa_info/~A'>MNXR95940</a>		PWY-6834	ARGDECARBOX-RXN			
CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN	CARBON-DIOXIDE	EC-4.2.1.91	<a href='https://www.metanetx.org/equa_info/~A'>MNXR95958</a>		PWY-3462	CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN			
RXN-14476	CARBON-DIOXIDE	EC-1.3.1.79	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118703</a>			RXN-14476			
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	CARBON-DIOXIDE	EC-1.3.1.43	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106658</a>		PWY-6120	CYCLOHEXADIENYL-DEHYDROGENASE-RXN			
RXN-5682	CARBON-DIOXIDE	EC-1.3.1.78	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106659</a>		PWY-3461	RXN-5682			
ETHYL-RXN	CARBON-DIOXIDE	EC-1.14.17.4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR140048</a>		ETHYL-PWY	ETHYL-RXN			
ASPDECARBOX-RXN	CARBON-DIOXIDE	EC-4.1.1.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR96077</a>		PWY-5155	ASPDECARBOX-RXN			
ASPARTATE-4-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.12	<a href='https://www.metanetx.org/equa_info/~A'>MNXR96078</a>			ASPARTATE-4-DECARBOXYLASE-RXN			
RXN-21800	CARBON-DIOXIDE	EC-1.13.12.1				RXN-21800			
CARNITINE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.42	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107486</a>			CARNITINE-DECARBOXYLASE-RXN			
CITRULLINASE-RXN	CARBON-DIOXIDE	EC-3.5.1.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106633</a>			CITRULLINASE-RXN			
CYSTAUR-RXN	CARBON-DIOXIDE	EC-4.1.1.29	<a href='https://www.metanetx.org/equa_info/~A'>MNXR101032</a>		PWY-5331	CYSTAUR-RXN			
RXNQT-4309	CARBON-DIOXIDE	EC-1.14.14.42	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123820</a>		PWYQT-4471	RXNQT-4309			
RXN-19275	CARBON-DIOXIDE	EC-4.1.1.107				RXN-19275			
RXN66-221	CARBON-DIOXIDE	EC-4.1.1.28	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107302</a>		PWY-8110	RXN66-221			
RXN-11403	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR108330</a>	T	PWY-6498	RXN-11403			
RXN-14541	CARBON-DIOXIDE	EC-1.14.11.40	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113755</a>			RXN-14541			
RXN-21520	CARBON-DIOXIDE	EC-1.14.11.76			PWY-8158	RXN-21520			
RXN-18512	CARBON-DIOXIDE	EC-2.6.1.114				RXN-18512			
GLUTDECARBOX-RXN	CARBON-DIOXIDE	EC-4.1.1.15	<a href='https://www.metanetx.org/equa_info/~A'>MNXR95942</a>		PWY-8346 // PWY0-1305	GLUTDECARBOX-RXN			
RXNQT-4313	CARBON-DIOXIDE	EC-1.14.14.42	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123824</a>		PWYQT-4475	RXNQT-4313			
HISTIDINE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.22	<a href='https://www.metanetx.org/equa_info/~A'>MNXR100581</a>		PWY-6173	HISTIDINE-DECARBOXYLASE-RXN			
RXN-21801	CARBON-DIOXIDE	EC-1.13.12.1				RXN-21801			
RXN-2206	CARBON-DIOXIDE	EC-1.14.14.42	<a href='https://www.metanetx.org/equa_info/~A'>MNXR144010</a>		PWY-1187	RXN-2206			
RXN-16497	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120135</a>		PWY-7649	RXN-16497			
1.14.13.117-RXN	CARBON-DIOXIDE	EC-1.14.14.39	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114921</a>			1.14.13.117-RXN			
RXN-13635	CARBON-DIOXIDE	EC-1.14.11.45	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114041</a>			RXN-13635			
RXN-21280	CARBON-DIOXIDE	EC-1.14.11.74				RXN-21280			
RXN-20853	CARBON-DIOXIDE	EC-1.14.14.M43				RXN-20853			
RXN-13636	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118218</a>			RXN-13636			
RXN-16488	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120126</a>		PWY-7648	RXN-16488			
LYSINE-2-MONOOXYGENASE-RXN	CARBON-DIOXIDE	EC-1.13.12.2	<a href='https://www.metanetx.org/equa_info/~A'>MNXR101258</a>		PWY-5280	LYSINE-2-MONOOXYGENASE-RXN			
LYSDECARBOX-RXN	CARBON-DIOXIDE	EC-4.1.1.18	<a href='https://www.metanetx.org/equa_info/~A'>MNXR101256</a>		PWY-6328 // PWY-5468	LYSDECARBOX-RXN			
RXN-13638	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118220</a>			RXN-13638			
METHIONINE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.57	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106629</a>			METHIONINE-DECARBOXYLASE-RXN			
ORNDECARBOX-RXN	CARBON-DIOXIDE	EC-4.1.1.17	<a href='https://www.metanetx.org/equa_info/~A'>MNXR102209</a>		PWY-46 // ORNDEG-PWY	ORNDECARBOX-RXN			
RXNQT-4312	CARBON-DIOXIDE	EC-1.14.14.42	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123823</a>		PWYQT-4474	RXNQT-4312			
RXN-4602	CARBON-DIOXIDE	EC-1.14.14.40	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121733</a>			RXN-4602			
PHENYLALANINE-2-MONOOXYGENASE-RXN	CARBON-DIOXIDE	EC-1.13.12.9	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106645</a>			PHENYLALANINE-2-MONOOXYGENASE-RXN			
PHENYLALANINE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.28 // EC-4.1.1.53	<a href='https://www.metanetx.org/equa_info/~A'>MNXR102650</a>		PWY-5751	PHENYLALANINE-DECARBOXYLASE-RXN			
RXN-8990	CARBON-DIOXIDE	EC-4.1.1.109	<a href='https://www.metanetx.org/equa_info/~A'>MNXR122572</a>		PWY-5751	RXN-8990			
1.14.11.28-RXN	CARBON-DIOXIDE	EC-1.14.11.28	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112989</a>			1.14.11.28-RXN			
RXN-14244	CARBON-DIOXIDE	EC-1.14.11.56	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118578</a>			RXN-14244			
RXN490-3641	CARBON-DIOXIDE	EC-1.14.11.57	<a href='https://www.metanetx.org/equa_info/~A'>MNXR103186</a>			RXN490-3641			
RXN-16692	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120299</a>		PWY-7669	RXN-16692			
RXN-5641	CARBON-DIOXIDE	EC-4.1.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR104335</a>		PWY-7782	RXN-5641			
RXN-16008	CARBON-DIOXIDE	EC-1.1.1.387	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114291</a>			RXN-16008			
RXN-16003	CARBON-DIOXIDE	EC-1.1.1.276	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114289</a>			RXN-16003			
TARTRATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.73	<a href='https://www.metanetx.org/equa_info/~A'>MNXR104719</a>			TARTRATE-DECARBOXYLASE-RXN			
RXNQT-4311	CARBON-DIOXIDE	EC-1.14.14.42	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123822</a>		PWYQT-4473	RXNQT-4311			
RXN-13639	CARBON-DIOXIDE	EC-1.14.11	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118221</a>			RXN-13639			
RXN-14249	CARBON-DIOXIDE	EC-1.1.1.103	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118582</a>			RXN-14249			
4.1.1.81-RXN	CARBON-DIOXIDE	EC-4.1.1.81	<a href='https://www.metanetx.org/equa_info/~A'>MNXR104843</a>		PWY-5443	4.1.1.81-RXN			
RXNQT-4310	CARBON-DIOXIDE	EC-1.14.14.42	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123821</a>		PWYQT-4472	RXNQT-4310			
RXN-1402	CARBON-DIOXIDE	EC-1.14.14.156	<a href='https://www.metanetx.org/equa_info/~A'>MNXR111737</a>			RXN-1402			
TRYPTOPHAN-2-DIOXYGENASE-RXN	CARBON-DIOXIDE	EC-1.13.99.3	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106640</a>			TRYPTOPHAN-2-DIOXYGENASE-RXN			
TRYPTOPHAN-2-MONOOXYGENASE-RXN	CARBON-DIOXIDE	EC-1.13.12.3	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106639</a>		PWY-3161	TRYPTOPHAN-2-MONOOXYGENASE-RXN			
RXN-5402	CARBON-DIOXIDE	EC-1.13.99	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121797</a>		PWY-3162	RXN-5402			
AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.28 // EC-4.1.1.105	<a href='https://www.metanetx.org/equa_info/~A'>MNXR101250</a>		PWY-5290	AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN			
RXN-13187	CARBON-DIOXIDE	EC-1.14.14.36	<a href='https://www.metanetx.org/equa_info/~A'>MNXR117941</a>			RXN-13187			
RXN-19274	CARBON-DIOXIDE	EC-4.1.1.108				RXN-19274			
TYROSINE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.28 // EC-4.1.1.25	<a href='https://www.metanetx.org/equa_info/~A'>MNXR104990</a>		PWY-3581 // PWY-6133 // PWY-7826 // PWY-5474 // PWY-5254 // PWY-7297 // PWY-6802	TYROSINE-DECARBOXYLASE-RXN			
1.14.13.118-RXN	CARBON-DIOXIDE	EC-1.14.14.38	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114922</a>			1.14.13.118-RXN			
VALINE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.14	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106990</a>			VALINE-DECARBOXYLASE-RXN			
1.14.99.21-RXN	CARBON-DIOXIDE	EC-1.14.99.21	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114943</a>			1.14.99.21-RXN			
RXN1G-460	CARBON-DIOXIDE	EC-2.3.1.301	<a href='https://www.metanetx.org/equa_info/~A'>MNXR123576</a>		PWYG-321	RXN1G-460			
RXN-13256	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR117977</a>			RXN-13256			
RXN-15526	CARBON-DIOXIDE	EC-3.5.1.M21 // EC-3.5.1.M19 // EC-3.5.1.M20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119419</a>		PWY-7496	RXN-15526			
RXN-14423	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118677</a>		PWY-7252	RXN-14423			
RXN-16577	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120205</a>		PWY-7659	RXN-16577			
RXN-17985	CARBON-DIOXIDE	EC-2.3.1.260	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121315</a>		PWY-7811	RXN-17985			
RXN-17590	CARBON-DIOXIDE	EC-1.8.1.5	<a href='https://www.metanetx.org/equa_info/~A'>MNXR121022</a>		PWY-7776	RXN-17590			
RXN-19735	CARBON-DIOXIDE	EC-4.1.1.88				RXN-19735			
RXN-9774	CARBON-DIOXIDE	EC-7.2.4.4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112905</a>			RXN-9774			
RXN-20379	CARBON-DIOXIDE	EC-2.3.1.199			PWY-7035	RXN-20379			
RXN-20375	CARBON-DIOXIDE	EC-2.3.1.199			PWY-7035	RXN-20375			
RXN-20383	CARBON-DIOXIDE	EC-2.3.1.199				RXN-20383			
RXN-13442	CARBON-DIOXIDE	EC-2.3.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR118084</a>		PWY-7727	RXN-13442			
